  t=0.10s err=35 u=-164 slip-window dups=0 skips=0 clearance_min=0
  t=0.20s err=30 u=-183 slip-window dups=0 skips=0 clearance_min=45
  t=0.30s err=22 u=-181 slip-window dups=0 skips=0 clearance_min=37
  t=0.40s err=15 u=-175 slip-window dups=0 skips=0 clearance_min=31
  t=0.50s err=11 u=-175 slip-window dups=0 skips=0 clearance_min=26
  t=0.60s err=9 u=-178 slip-window dups=0 skips=0 clearance_min=23
  t=0.70s err=5 u=-170 slip-window dups=0 skips=0 clearance_min=21
  t=0.80s err=4 u=-172 slip-window dups=0 skips=0 clearance_min=19
  t=0.90s err=3 u=-172 slip-window dups=0 skips=0 clearance_min=18
  t=1.00s err=3 u=-175 slip-window dups=0 skips=0 clearance_min=17
  t=1.10s err=1 u=-169 slip-window dups=0 skips=0 clearance_min=16
  t=1.20s err=0 u=-167 slip-window dups=0 skips=0 clearance_min=16
  t=1.30s err=1 u=-172 slip-window dups=0 skips=0 clearance_min=16
  t=1.40s err=0 u=-168 slip-window dups=0 skips=0 clearance_min=16
  t=1.50s err=1 u=-173 slip-window dups=0 skips=0 clearance_min=15
  t=1.60s err=1 u=-173 slip-window dups=0 skips=0 clearance_min=15
  t=1.70s err=-1 u=-166 slip-window dups=0 skips=0 clearance_min=15
  t=1.80s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=1.90s err=-1 u=-166 slip-window dups=0 skips=0 clearance_min=15
  t=2.00s err=-1 u=-166 slip-window dups=0 skips=0 clearance_min=15
  t=2.10s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=2.20s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=2.30s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=2.40s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=2.50s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=2.60s err=1 u=-174 slip-window dups=0 skips=0 clearance_min=15
  t=2.70s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=2.80s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=2.90s err=1 u=-174 slip-window dups=0 skips=0 clearance_min=15
  t=3.00s err=-1 u=-166 slip-window dups=0 skips=0 clearance_min=15
  t=3.10s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=3.20s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=3.30s err=-1 u=-166 slip-window dups=0 skips=0 clearance_min=15
  t=3.40s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=3.50s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=3.60s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=3.70s err=0 u=-171 slip-window dups=0 skips=0 clearance_min=15
  t=3.80s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=3.90s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=4.00s err=1 u=-174 slip-window dups=0 skips=0 clearance_min=15
  t=4.10s err=-1 u=-166 slip-window dups=0 skips=0 clearance_min=15
  t=4.20s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=4.30s err=1 u=-174 slip-window dups=0 skips=0 clearance_min=15
  t=4.40s err=0 u=-171 slip-window dups=0 skips=0 clearance_min=15
  t=4.50s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=4.60s err=-1 u=-166 slip-window dups=0 skips=0 clearance_min=15
  t=4.70s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=4.80s err=1 u=-174 slip-window dups=0 skips=0 clearance_min=15
  t=4.90s err=-1 u=-166 slip-window dups=0 skips=0 clearance_min=15
  t=5.00s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=5.10s err=-1 u=-167 slip-window dups=0 skips=0 clearance_min=15
  t=5.20s err=-1 u=-166 slip-window dups=0 skips=0 clearance_min=15
  t=5.30s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=5.40s err=-1 u=-166 slip-window dups=0 skips=0 clearance_min=15
  t=5.50s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=5.60s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=5.70s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=5.80s err=1 u=-174 slip-window dups=0 skips=0 clearance_min=15
  t=5.90s err=0 u=-170 slip-window dups=0 skips=0 clearance_min=15
  t=6.00s err=-1 u=-167 slip-window dups=0 skips=0 clearance_min=15
